TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9915,FPR:0.0,Pr:1.0,F1:0.9957318604067287,AUC:0.99575
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.996,FPR:0.0,Pr:1.0,F1:0.9979959919839679,AUC:0.998
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.991,FPR:0.0,Pr:1.0,F1:0.9954796584630838,AUC:0.9955
TPR:0.9965,FPR:0.0,Pr:1.0,F1:0.9982469321312296,AUC:0.9982500000000001
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.993,FPR:0.0155,Pr:0.9846306395637084,F1:0.9887976101568334,AUC:0.98875
TPR:0.992,FPR:0.0175,Pr:0.9826646854878652,F1:0.9873102761881064,AUC:0.9872500000000001
TPR:0.994,FPR:0.0175,Pr:0.9826989619377162,F1:0.9883171762366393,AUC:0.9882500000000001
TPR:0.9945,FPR:0.0155,Pr:0.9846534653465346,F1:0.9895522388059702,AUC:0.9894999999999999
TPR:0.9955,FPR:0.0175,Pr:0.9827245804540967,F1:0.9890710382513661,AUC:0.989
TPR:0.9965,FPR:0.0175,Pr:0.9827416173570019,F1:0.9895729890764647,AUC:0.9895
TPR:0.997,FPR:0.0175,Pr:0.9827501232134056,F1:0.9898237776123108,AUC:0.98975
TPR:0.995,FPR:0.0175,Pr:0.9827160493827161,F1:0.9888198757763975,AUC:0.9887500000000001
TPR:0.9945,FPR:0.0175,Pr:0.982707509881423,F1:0.9885685884691849,AUC:0.9884999999999999
TPR:0.994,FPR:0.0175,Pr:0.9826989619377162,F1:0.9883171762366393,AUC:0.9882500000000001
TPR:0.9915,FPR:0.0,Pr:1.0,F1:0.9957318604067287,AUC:0.99575
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.9975,FPR:0.0,Pr:1.0,F1:0.9987484355444306,AUC:0.99875
TPR:0.997,FPR:0.0,Pr:1.0,F1:0.99849774661993,AUC:0.9984999999999999
TPR:0.996,FPR:0.0,Pr:1.0,F1:0.9979959919839679,AUC:0.998
TPR:0.9955,FPR:0.0,Pr:1.0,F1:0.9977449260836884,AUC:0.99775
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9995,FPR:0.0,Pr:1.0,F1:0.9997499374843711,AUC:0.99975
