TPR:0.72,FPR:0.0,Pr:1.0,F1:0.8372093023255813,AUC:0.86
TPR:0.8285,FPR:0.0,Pr:1.0,F1:0.9062072737216298,AUC:0.91425
TPR:0.876,FPR:0.0,Pr:1.0,F1:0.933901918976546,AUC:0.938
TPR:0.565,FPR:0.0,Pr:1.0,F1:0.7220447284345047,AUC:0.7825
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.996,FPR:0.0,Pr:1.0,F1:0.9979959919839679,AUC:0.998
TPR:0.5435,FPR:0.0,Pr:1.0,F1:0.7042436022027859,AUC:0.7717499999999999
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.9975,FPR:0.0,Pr:1.0,F1:0.9987484355444306,AUC:0.99875
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.996,FPR:0.0,Pr:1.0,F1:0.9979959919839679,AUC:0.998
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9975,FPR:0.0,Pr:1.0,F1:0.9987484355444306,AUC:0.99875
TPR:0.7485,FPR:0.0,Pr:1.0,F1:0.8561624249356592,AUC:0.87425
TPR:0.786,FPR:0.0,Pr:1.0,F1:0.8801791713325868,AUC:0.893
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.9875,FPR:0.0,Pr:1.0,F1:0.9937106918238994,AUC:0.99375
TPR:0.9955,FPR:0.0,Pr:1.0,F1:0.9977449260836884,AUC:0.99775
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.95,FPR:0.0,Pr:1.0,F1:0.9743589743589743,AUC:0.975
TPR:0.636,FPR:0.0,Pr:1.0,F1:0.7775061124694376,AUC:0.8180000000000001
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.5315,FPR:0.0,Pr:1.0,F1:0.6940907606921319,AUC:0.7657499999999999
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.5835,FPR:0.0,Pr:1.0,F1:0.7369750552573414,AUC:0.79175
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9955,FPR:0.0,Pr:1.0,F1:0.9977449260836884,AUC:0.99775
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9955,FPR:0.0,Pr:1.0,F1:0.9977449260836884,AUC:0.99775
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.733,FPR:0.0,Pr:1.0,F1:0.845931909982689,AUC:0.8665
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
