TPR:0.9925,FPR:0.018,Pr:0.9821870361207323,F1:0.9873165879134544,AUC:0.9872500000000001
TPR:0.9855,FPR:0.016,Pr:0.9840239640539191,F1:0.9847614289283039,AUC:0.98475
TPR:0.9875,FPR:0.033,Pr:0.9676629103380696,F1:0.9774808215788172,AUC:0.97725
TPR:0.9875,FPR:0.03,Pr:0.9705159705159705,F1:0.9789343246592317,AUC:0.97875
TPR:0.9885,FPR:0.03,Pr:0.9705449189985272,F1:0.9794401783502601,AUC:0.9792500000000001
TPR:0.9855,FPR:0.029,Pr:0.9714144898965007,F1:0.9784065524944154,AUC:0.97825
TPR:0.9905,FPR:0.016,Pr:0.9841033283656234,F1:0.9872913032643907,AUC:0.98725
TPR:0.9875,FPR:0.011,Pr:0.9889834752128193,F1:0.9882411808856644,AUC:0.98825
TPR:0.986,FPR:0.024,Pr:0.9762376237623762,F1:0.9810945273631841,AUC:0.9809999999999999
TPR:0.986,FPR:0.0,Pr:1.0,F1:0.9929506545820745,AUC:0.993
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.986,FPR:0.0,Pr:1.0,F1:0.9929506545820745,AUC:0.993
TPR:0.99,FPR:0.0,Pr:1.0,F1:0.9949748743718593,AUC:0.995
TPR:0.9865,FPR:0.0,Pr:1.0,F1:0.9932041278630759,AUC:0.99325
TPR:0.988,FPR:0.0,Pr:1.0,F1:0.993963782696177,AUC:0.994
TPR:0.985,FPR:0.0,Pr:1.0,F1:0.9924433249370278,AUC:0.9924999999999999
TPR:0.9875,FPR:0.0,Pr:1.0,F1:0.9937106918238994,AUC:0.99375
TPR:0.986,FPR:0.0,Pr:1.0,F1:0.9929506545820745,AUC:0.993
TPR:0.988,FPR:0.0,Pr:1.0,F1:0.993963782696177,AUC:0.994
TPR:0.986,FPR:0.0,Pr:1.0,F1:0.9929506545820745,AUC:0.993
TPR:0.9915,FPR:0.0,Pr:1.0,F1:0.9957318604067287,AUC:0.99575
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.991,FPR:0.0,Pr:1.0,F1:0.9954796584630838,AUC:0.9955
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9905,FPR:0.0,Pr:1.0,F1:0.9952273298166291,AUC:0.99525
TPR:0.991,FPR:0.0,Pr:1.0,F1:0.9954796584630838,AUC:0.9955
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.9945,FPR:0.0,Pr:1.0,F1:0.997242416645776,AUC:0.99725
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.992,FPR:0.0,Pr:1.0,F1:0.9959839357429718,AUC:0.996
TPR:0.989,FPR:0.0,Pr:1.0,F1:0.9944695827048768,AUC:0.9944999999999999
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.9935,FPR:0.0,Pr:1.0,F1:0.9967394030599448,AUC:0.99675
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.995,FPR:0.0,Pr:1.0,F1:0.9974937343358395,AUC:0.9975
TPR:0.993,FPR:0.0,Pr:1.0,F1:0.9964877069744105,AUC:0.9964999999999999
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
TPR:0.994,FPR:0.0,Pr:1.0,F1:0.9969909729187563,AUC:0.997
TPR:0.9925,FPR:0.0,Pr:1.0,F1:0.9962358845671266,AUC:0.9962500000000001
