TPR:0.919,FPR:0.0285,Pr:0.9699208443271767,F1:0.9437740693196406,AUC:0.94525
TPR:0.9075,FPR:0.025333333333333333,Pr:0.972842594246918,F1:0.939035957575235,AUC:0.9410833333333334
TPR:0.9431666666666667,FPR:0.013166666666666667,Pr:0.9862321366329732,F1:0.9642187766229341,AUC:0.965
TPR:0.9428333333333333,FPR:0.013333333333333334,Pr:0.9860554296670734,F1:0.9639601260969584,AUC:0.96475
TPR:0.9725,FPR:0.015333333333333332,Pr:0.9844778133963219,F1:0.9784522511947681,AUC:0.9785833333333335
TPR:0.9281666666666667,FPR:0.009,Pr:0.9903965854526053,F1:0.9582723909489805,AUC:0.9595833333333333
TPR:0.9225,FPR:0.003833333333333333,Pr:0.9958618207988486,F1:0.9577781623118187,AUC:0.9593333333333333
TPR:0.936,FPR:0.004833333333333334,Pr:0.9948627103631532,F1:0.9645341348218119,AUC:0.9655833333333332
TPR:0.939,FPR:0.0,Pr:1.0,F1:0.9685404847859721,AUC:0.9695
TPR:0.9406666666666667,FPR:0.0,Pr:1.0,F1:0.9694263139814497,AUC:0.9703333333333333
TPR:0.9558333333333333,FPR:0.0,Pr:1.0,F1:0.9774179804005113,AUC:0.9779166666666667
TPR:0.9371666666666667,FPR:0.0,Pr:1.0,F1:0.9675643121397229,AUC:0.9685833333333334
TPR:0.8906666666666667,FPR:0.003833333333333333,Pr:0.9957145518911868,F1:0.9402656813583179,AUC:0.9434166666666667
TPR:0.8981666666666667,FPR:0.0,Pr:1.0,F1:0.9463517429098254,AUC:0.9490833333333333
TPR:0.8813333333333333,FPR:0.018,Pr:0.9799851742031134,F1:0.9280449280449281,AUC:0.9316666666666666
TPR:0.9516666666666667,FPR:0.009666666666666667,Pr:0.9899445214979196,F1:0.9704282800815772,AUC:0.971
TPR:0.903,FPR:0.018666666666666668,Pr:0.979746835443038,F1:0.9398091934084997,AUC:0.9421666666666666
TPR:0.8795,FPR:0.009666666666666667,Pr:0.98912839737582,F1:0.9310983678870755,AUC:0.9349166666666666
TPR:0.8986666666666666,FPR:0.0145,Pr:0.9841211899981749,F1:0.9394546563289485,AUC:0.9420833333333334
TPR:0.8838333333333334,FPR:0.009666666666666667,Pr:0.9891811229248274,F1:0.9335445823431036,AUC:0.9370833333333334
TPR:0.8776666666666667,FPR:0.009666666666666667,Pr:0.9891059353869271,F1:0.9300600494524903,AUC:0.934
TPR:0.8961666666666667,FPR:0.008333333333333333,Pr:0.9907868067072048,F1:0.9411044018552552,AUC:0.9439166666666667
TPR:0.9126666666666666,FPR:0.011,Pr:0.9880909418982317,F1:0.9488823427482238,AUC:0.9508333333333332
TPR:0.9035,FPR:0.01,Pr:0.9890530925013684,F1:0.9443428272798536,AUC:0.94675
TPR:0.9081666666666667,FPR:0.004833333333333334,Pr:0.9947060971157357,F1:0.9494685485276181,AUC:0.9516666666666667
TPR:0.9201666666666667,FPR:0.017166666666666667,Pr:0.9816856330014224,F1:0.9499311768754302,AUC:0.9515000000000001
TPR:0.9316666666666666,FPR:0.004166666666666667,Pr:0.9955476402493322,F1:0.9625484287559191,AUC:0.96375
TPR:0.9553333333333334,FPR:0.0085,Pr:0.9911810478990144,F1:0.9729270983620472,AUC:0.9734166666666667
TPR:0.9186666666666666,FPR:0.013666666666666667,Pr:0.985341437254201,F1:0.9508366396411937,AUC:0.9525
TPR:0.96,FPR:0.014,Pr:0.9856262833675564,F1:0.972644376899696,AUC:0.9729999999999999
TPR:0.9643333333333334,FPR:0.017166666666666667,Pr:0.9825097639667176,F1:0.9733366977878712,AUC:0.9735833333333332
TPR:0.9658333333333333,FPR:0.027,Pr:0.9728051032398859,F1:0.9693066822781634,AUC:0.9694166666666666
TPR:0.9513333333333334,FPR:0.018666666666666668,Pr:0.9807560137457044,F1:0.9658206429780034,AUC:0.9663333333333333
TPR:0.9663333333333334,FPR:0.03283333333333333,Pr:0.967139282735613,F1:0.9667361400583576,AUC:0.96675
TPR:0.9725,FPR:0.03283333333333333,Pr:0.9673408488063661,F1:0.9699135638297873,AUC:0.9698333333333334
TPR:0.9765,FPR:0.034833333333333334,Pr:0.9655570204350692,F1:0.9709976798143851,AUC:0.9708333333333334
TPR:0.9755,FPR:0.046,Pr:0.9549681840430739,F1:0.9651249072470938,AUC:0.96475
TPR:0.9643333333333334,FPR:0.042333333333333334,Pr:0.9579470198675497,F1:0.9611295681063123,AUC:0.961
TPR:0.9728333333333333,FPR:0.044833333333333336,Pr:0.9559449721585326,F1:0.9643152155955725,AUC:0.9640000000000002
TPR:0.924,FPR:0.0325,Pr:0.9660219550444328,F1:0.9445438282647585,AUC:0.94575
TPR:0.9668333333333333,FPR:0.020833333333333332,Pr:0.9789065136685792,F1:0.9728324668790876,AUC:0.9729999999999999
TPR:0.952,FPR:0.03283333333333333,Pr:0.9666610255542393,F1:0.9592744982786128,AUC:0.9595833333333332
TPR:0.95,FPR:0.028666666666666667,Pr:0.970708446866485,F1:0.9602425876010782,AUC:0.9606666666666668
TPR:0.9281666666666667,FPR:0.037,Pr:0.9616646520462787,F1:0.9446187770333305,AUC:0.9455833333333333
TPR:0.9335,FPR:0.042666666666666665,Pr:0.9562916168687041,F1:0.944758370582778,AUC:0.9454166666666667
TPR:0.9488333333333333,FPR:0.051,Pr:0.9489914985830972,F1:0.9489124093674473,AUC:0.9489166666666666
TPR:0.966,FPR:0.0245,Pr:0.9752650176678446,F1:0.9706103993971364,AUC:0.9707500000000001
TPR:0.9658333333333333,FPR:0.036166666666666666,Pr:0.9639055222887558,F1:0.9648684648684648,AUC:0.9648333333333333
TPR:0.9625,FPR:0.029,Pr:0.9707513867876955,F1:0.9666080843585237,AUC:0.9667499999999999
TPR:0.9745,FPR:0.032,Pr:0.9682066567312468,F1:0.9713431348118614,AUC:0.97125
TPR:0.9688333333333333,FPR:0.04016666666666667,Pr:0.9601916088536505,F1:0.9644931143188983,AUC:0.9643333333333334
