TPR:0.2405,FPR:0.0395,Pr:0.8589285714285714,F1:0.37578124999999996,AUC:0.6005
TPR:0.3645,FPR:0.046,Pr:0.8879415347137637,F1:0.5168380007089685,AUC:0.65925
TPR:0.432,FPR:0.0515,Pr:0.8934850051706308,F1:0.5824064711830131,AUC:0.69025
TPR:0.4905,FPR:0.046,Pr:0.9142590866728798,F1:0.6384640416531077,AUC:0.7222499999999998
TPR:0.4805,FPR:0.05,Pr:0.9057492931196984,F1:0.6278993792878145,AUC:0.7152499999999999
TPR:0.4715,FPR:0.033,Pr:0.9345887016848364,F1:0.6267863077434364,AUC:0.71925
TPR:0.447,FPR:0.0255,Pr:0.946031746031746,F1:0.6071307300509338,AUC:0.7107500000000001
TPR:0.442,FPR:0.0245,Pr:0.947481243301179,F1:0.6027957722468462,AUC:0.70875
TPR:0.2925,FPR:0.0,Pr:1.0,F1:0.4526112185686654,AUC:0.64625
TPR:0.319,FPR:0.0,Pr:1.0,F1:0.48369977255496593,AUC:0.6595
TPR:0.2575,FPR:0.0,Pr:1.0,F1:0.4095427435387674,AUC:0.62875
TPR:0.197,FPR:0.0,Pr:1.0,F1:0.329156223893066,AUC:0.5985
TPR:0.195,FPR:0.0,Pr:1.0,F1:0.3263598326359833,AUC:0.5975
TPR:0.1505,FPR:0.0,Pr:1.0,F1:0.26162538026944804,AUC:0.57525
TPR:0.1645,FPR:0.0,Pr:1.0,F1:0.28252468870759984,AUC:0.58225
TPR:0.0955,FPR:0.0,Pr:1.0,F1:0.17434961204929258,AUC:0.54775
TPR:0.145,FPR:0.0,Pr:1.0,F1:0.25327510917030566,AUC:0.5725
TPR:0.129,FPR:0.0,Pr:1.0,F1:0.22852081488042517,AUC:0.5645
TPR:0.0705,FPR:0.0,Pr:1.0,F1:0.13171415226529656,AUC:0.53525
TPR:0.0745,FPR:0.0,Pr:1.0,F1:0.1386691484411354,AUC:0.53725
TPR:0.282,FPR:0.0,Pr:1.0,F1:0.4399375975039001,AUC:0.641
TPR:0.232,FPR:0.0,Pr:1.0,F1:0.37662337662337664,AUC:0.616
TPR:0.2625,FPR:0.0,Pr:1.0,F1:0.4158415841584159,AUC:0.63125
TPR:0.2455,FPR:0.0,Pr:1.0,F1:0.3942191890806905,AUC:0.62275
TPR:0.2135,FPR:0.0,Pr:1.0,F1:0.3518747424804285,AUC:0.60675
TPR:0.255,FPR:0.0,Pr:1.0,F1:0.4063745019920319,AUC:0.6275
TPR:0.084,FPR:0.0,Pr:1.0,F1:0.15498154981549817,AUC:0.542
TPR:0.122,FPR:0.0,Pr:1.0,F1:0.21746880570409985,AUC:0.5609999999999999
TPR:0.2655,FPR:0.0,Pr:1.0,F1:0.4195969972342947,AUC:0.63275
TPR:0.215,FPR:0.0,Pr:1.0,F1:0.35390946502057613,AUC:0.6075
TPR:0.31,FPR:0.0,Pr:1.0,F1:0.47328244274809156,AUC:0.655
TPR:0.268,FPR:0.0,Pr:1.0,F1:0.42271293375394325,AUC:0.634
TPR:0.2385,FPR:0.0,Pr:1.0,F1:0.38514331853048045,AUC:0.61925
TPR:0.237,FPR:0.0,Pr:1.0,F1:0.38318512530315274,AUC:0.6185
TPR:0.2065,FPR:0.0,Pr:1.0,F1:0.3423124740986324,AUC:0.60325
TPR:0.223,FPR:0.0,Pr:1.0,F1:0.36467702371218313,AUC:0.6115
TPR:0.223,FPR:0.0,Pr:1.0,F1:0.36467702371218313,AUC:0.6115
TPR:0.269,FPR:0.0,Pr:1.0,F1:0.4239558707643814,AUC:0.6345000000000001
TPR:0.318,FPR:0.0,Pr:1.0,F1:0.4825493171471927,AUC:0.659
TPR:0.2455,FPR:0.0,Pr:1.0,F1:0.3942191890806905,AUC:0.62275
TPR:0.328,FPR:0.0,Pr:1.0,F1:0.4939759036144578,AUC:0.664
TPR:0.303,FPR:0.0,Pr:1.0,F1:0.46508058326937834,AUC:0.6515
TPR:0.304,FPR:0.0,Pr:1.0,F1:0.4662576687116564,AUC:0.652
TPR:0.3435,FPR:0.0,Pr:1.0,F1:0.51135094901377,AUC:0.6717500000000001
TPR:0.3725,FPR:0.0,Pr:1.0,F1:0.5428051001821493,AUC:0.68625
TPR:0.374,FPR:0.0,Pr:1.0,F1:0.544395924308588,AUC:0.687
TPR:0.398,FPR:0.0,Pr:1.0,F1:0.569384835479256,AUC:0.6990000000000001
TPR:0.4475,FPR:0.0,Pr:1.0,F1:0.6183074265975821,AUC:0.72375
TPR:0.4475,FPR:0.0,Pr:1.0,F1:0.6183074265975821,AUC:0.72375
TPR:0.518,FPR:0.0,Pr:1.0,F1:0.6824769433465085,AUC:0.759
TPR:0.5615,FPR:0.0,Pr:1.0,F1:0.7191802753762407,AUC:0.78075
