TPR:0.207,FPR:0.19525,Pr:0.5146053449347421,F1:0.2952397931895168,AUC:0.5058750000000001
TPR:0.20875,FPR:0.19675,Pr:0.5147965474722564,F1:0.2970473141230878,AUC:0.506
TPR:0.2035,FPR:0.1945,Pr:0.5113065326633166,F1:0.29113018597997137,AUC:0.5045
TPR:0.2035,FPR:0.192,Pr:0.5145385587863464,F1:0.29165173772841274,AUC:0.50575
TPR:0.1985,FPR:0.1855,Pr:0.5169270833333334,F1:0.286849710982659,AUC:0.5065000000000001
TPR:0.1965,FPR:0.18675,Pr:0.512720156555773,F1:0.284113500813302,AUC:0.504875
TPR:0.20025,FPR:0.1915,Pr:0.5111678366305041,F1:0.2877671995688881,AUC:0.504375
TPR:0.20225,FPR:0.19375,Pr:0.5107323232323232,F1:0.289756446991404,AUC:0.5042500000000001
TPR:0.20875,FPR:0.20025,Pr:0.5103911980440098,F1:0.2963094393186657,AUC:0.50425
TPR:0.203,FPR:0.19275,Pr:0.5129500947567909,F1:0.2908830377933011,AUC:0.505125
TPR:0.201,FPR:0.19075,Pr:0.5130823229100191,F1:0.2888449793425544,AUC:0.505125
TPR:0.2015,FPR:0.19175,Pr:0.512396694214876,F1:0.28925174950654947,AUC:0.504875
TPR:0.1995,FPR:0.18675,Pr:0.516504854368932,F1:0.28782687105500454,AUC:0.506375
TPR:0.2,FPR:0.18825,Pr:0.51513200257566,F1:0.2881325409688457,AUC:0.505875
TPR:0.18575,FPR:0.17725,Pr:0.5117079889807162,F1:0.27256052824651505,AUC:0.50425
TPR:0.182,FPR:0.174,Pr:0.5112359550561798,F1:0.26843657817109146,AUC:0.504
TPR:0.1855,FPR:0.174,Pr:0.5159944367176634,F1:0.2728944464876793,AUC:0.50575
TPR:0.19,FPR:0.179,Pr:0.5149051490514905,F1:0.27757487216946675,AUC:0.5055
TPR:0.18125,FPR:0.1695,Pr:0.5167498218104063,F1:0.26836942439385525,AUC:0.505875
TPR:0.184,FPR:0.1715,Pr:0.5175808720112518,F1:0.2714865363334563,AUC:0.50625
TPR:0.18575,FPR:0.17325,Pr:0.5174094707520891,F1:0.2733627667402502,AUC:0.5062500000000001
TPR:0.17725,FPR:0.164,Pr:0.5194139194139195,F1:0.2643056849953402,AUC:0.5066249999999999
TPR:0.17925,FPR:0.165,Pr:0.5206971677559913,F1:0.2666914636414357,AUC:0.5071249999999999
TPR:0.17075,FPR:0.1595,Pr:0.5170325510976533,F1:0.25671866190565684,AUC:0.505625
TPR:0.18,FPR:0.1675,Pr:0.5179856115107914,F1:0.26716141001855287,AUC:0.50625
TPR:0.18825,FPR:0.1735,Pr:0.520387007601935,F1:0.276482467413255,AUC:0.507375
TPR:0.19175,FPR:0.175,Pr:0.5228357191547376,F1:0.28059264678982987,AUC:0.508375
TPR:0.19125,FPR:0.1775,Pr:0.5186440677966102,F1:0.27945205479452057,AUC:0.506875
TPR:0.19025,FPR:0.1795,Pr:0.5145368492224476,F1:0.27778791750319404,AUC:0.505375
TPR:0.19675,FPR:0.184,Pr:0.5167432698621143,F1:0.2849900416440341,AUC:0.506375
TPR:0.20525,FPR:0.192,Pr:0.5166771554436753,F1:0.2937913759169798,AUC:0.506625
TPR:0.2105,FPR:0.19925,Pr:0.5137278828553996,F1:0.2986345096648342,AUC:0.505625
TPR:0.21025,FPR:0.19975,Pr:0.5128048780487805,F1:0.29822695035460994,AUC:0.5052500000000001
TPR:0.21025,FPR:0.2,Pr:0.5124923826934796,F1:0.29817408260946643,AUC:0.505125
TPR:0.2065,FPR:0.19825,Pr:0.5101914762198888,F1:0.2940024915465385,AUC:0.5041249999999999
TPR:0.20925,FPR:0.1995,Pr:0.5119266055045871,F1:0.2970718722271517,AUC:0.504875
TPR:0.21975,FPR:0.2095,Pr:0.5119394292370414,F1:0.3075039356305755,AUC:0.5051249999999999
TPR:0.2195,FPR:0.20375,Pr:0.5186060248080331,F1:0.308448972422273,AUC:0.5078750000000001
TPR:0.22475,FPR:0.20775,Pr:0.5196531791907515,F1:0.3137870855148342,AUC:0.5085000000000001
TPR:0.22825,FPR:0.21175,Pr:0.51875,F1:0.3170138888888889,AUC:0.5082500000000001
TPR:0.2305,FPR:0.212,Pr:0.5209039548022599,F1:0.3195840554592721,AUC:0.50925
TPR:0.23075,FPR:0.21275,Pr:0.520293122886133,F1:0.3197090405264981,AUC:0.509
TPR:0.23475,FPR:0.2175,Pr:0.5190713101160862,F1:0.32329144431055257,AUC:0.508625
TPR:0.238,FPR:0.21825,Pr:0.5216438356164383,F1:0.3268669527896995,AUC:0.509875
TPR:0.23425,FPR:0.215,Pr:0.5214245965498052,F1:0.3232706572365016,AUC:0.509625
TPR:0.231,FPR:0.2145,Pr:0.5185185185185185,F1:0.3196125907990315,AUC:0.50825
TPR:0.233,FPR:0.2165,Pr:0.5183537263626251,F1:0.32149016902380134,AUC:0.5082500000000001
TPR:0.23325,FPR:0.21825,Pr:0.5166112956810631,F1:0.3213916637960731,AUC:0.5075
TPR:0.22875,FPR:0.21575,Pr:0.5146231721034871,F1:0.31671858774662515,AUC:0.5065
TPR:0.22025,FPR:0.20825,Pr:0.5140023337222871,F1:0.30836541827091357,AUC:0.506
TPR:0.21875,FPR:0.2015,Pr:0.520523497917906,F1:0.3080443583876078,AUC:0.508625
