TPR:0.064,FPR:0.05775,Pr:0.5256673511293635,F1:0.11410742143971472,AUC:0.503125
TPR:0.06575,FPR:0.061,Pr:0.5187376725838264,F1:0.11670734413135123,AUC:0.502375
TPR:0.0625,FPR:0.0575,Pr:0.5208333333333334,F1:0.11160714285714286,AUC:0.5025000000000001
TPR:0.06625,FPR:0.06025,Pr:0.5237154150197628,F1:0.11762094984465157,AUC:0.5029999999999999
TPR:0.081,FPR:0.0675,Pr:0.5454545454545454,F1:0.14105354810622553,AUC:0.5067499999999999
TPR:0.08875,FPR:0.0695,Pr:0.5608214849921012,F1:0.15324843513921863,AUC:0.5096250000000001
TPR:0.09125,FPR:0.07,Pr:0.5658914728682171,F1:0.15715823466092574,AUC:0.510625
TPR:0.0915,FPR:0.0705,Pr:0.5648148148148148,F1:0.15748709122203097,AUC:0.5105
TPR:0.103,FPR:0.07725,Pr:0.5714285714285714,F1:0.1745392925227706,AUC:0.512875
TPR:0.1,FPR:0.07675,Pr:0.5657708628005658,F1:0.16995963458678565,AUC:0.5116250000000001
TPR:0.10425,FPR:0.0805,Pr:0.564276048714479,F1:0.17598649504114794,AUC:0.511875
TPR:0.10975,FPR:0.0855,Pr:0.5620998719590269,F1:0.18364358920727883,AUC:0.5121249999999999
TPR:0.11625,FPR:0.08975,Pr:0.5643203883495146,F1:0.19278606965174133,AUC:0.51325
TPR:0.11875,FPR:0.09225,Pr:0.5627962085308057,F1:0.19611890999174234,AUC:0.51325
TPR:0.12275,FPR:0.093,Pr:0.5689455388180765,F1:0.2019329631914456,AUC:0.514875
TPR:0.12225,FPR:0.09425,Pr:0.5646651270207852,F1:0.20098643649815043,AUC:0.514
TPR:0.11575,FPR:0.08925,Pr:0.5646341463414634,F1:0.19211618257261412,AUC:0.51325
TPR:0.12525,FPR:0.1,Pr:0.5560488346281909,F1:0.2044480718220771,AUC:0.512625
TPR:0.1235,FPR:0.098,Pr:0.5575620767494357,F1:0.20221039705280391,AUC:0.5127499999999999
TPR:0.15375,FPR:0.12625,Pr:0.5491071428571429,F1:0.24023437500000003,AUC:0.51375
TPR:0.1585,FPR:0.132,Pr:0.5456110154905336,F1:0.24564122433165442,AUC:0.5132500000000001
TPR:0.15725,FPR:0.132,Pr:0.543647363872083,F1:0.24394027535388793,AUC:0.5126249999999999
TPR:0.154,FPR:0.1305,Pr:0.5413005272407733,F1:0.23978201634877383,AUC:0.5117499999999999
TPR:0.148,FPR:0.12775,Pr:0.5367180417044425,F1:0.2320203801685283,AUC:0.5101249999999999
TPR:0.11925,FPR:0.105,Pr:0.5317725752508361,F1:0.19481315090871962,AUC:0.507125
TPR:0.10425,FPR:0.08875,Pr:0.5401554404145078,F1:0.17476948868398995,AUC:0.50775
TPR:0.11225,FPR:0.09675,Pr:0.5370813397129187,F1:0.18569065343258892,AUC:0.50775
TPR:0.1035,FPR:0.0905,Pr:0.5335051546391752,F1:0.17336683417085424,AUC:0.5065
TPR:0.08575,FPR:0.074,Pr:0.5367762128325508,F1:0.14787669756413022,AUC:0.505875
TPR:0.09525,FPR:0.079,Pr:0.5466284074605452,F1:0.16223121141153926,AUC:0.508125
TPR:0.0775,FPR:0.063,Pr:0.5516014234875445,F1:0.13590530469092502,AUC:0.50725
TPR:0.07425,FPR:0.059,Pr:0.5572232645403377,F1:0.13103904698874916,AUC:0.507625
TPR:0.075,FPR:0.05875,Pr:0.5607476635514018,F1:0.13230429988974643,AUC:0.5081249999999999
TPR:0.06575,FPR:0.05275,Pr:0.5548523206751055,F1:0.11756817165847117,AUC:0.5065
TPR:0.066,FPR:0.052,Pr:0.559322033898305,F1:0.11806797853309484,AUC:0.507
TPR:0.08475,FPR:0.0645,Pr:0.5678391959798995,F1:0.147487491842506,AUC:0.510125
TPR:0.06,FPR:0.045,Pr:0.5714285714285714,F1:0.10859728506787328,AUC:0.5075
TPR:0.0535,FPR:0.04075,Pr:0.5676392572944297,F1:0.09778387023075165,AUC:0.506375
TPR:0.06025,FPR:0.04675,Pr:0.5630841121495327,F1:0.1088527551942186,AUC:0.5067499999999999
TPR:0.0505,FPR:0.04025,Pr:0.5564738292011019,F1:0.09259683703873482,AUC:0.505125
TPR:0.05125,FPR:0.04275,Pr:0.5452127659574468,F1:0.09369287020109689,AUC:0.50425
TPR:0.0465,FPR:0.038,Pr:0.5502958579881657,F1:0.08575380359612725,AUC:0.50425
TPR:0.04675,FPR:0.0395,Pr:0.5420289855072464,F1:0.08607594936708861,AUC:0.503625
TPR:0.04175,FPR:0.035,Pr:0.5439739413680782,F1:0.07754817738565127,AUC:0.5033749999999999
TPR:0.044,FPR:0.03425,Pr:0.5623003194888179,F1:0.08161372594481799,AUC:0.504875
TPR:0.04675,FPR:0.037,Pr:0.5582089552238806,F1:0.08627450980392157,AUC:0.504875
TPR:0.048,FPR:0.03775,Pr:0.5597667638483965,F1:0.0884181441399954,AUC:0.505125
TPR:0.046,FPR:0.03525,Pr:0.5661538461538461,F1:0.08508670520231214,AUC:0.505375
TPR:0.04575,FPR:0.03625,Pr:0.5579268292682927,F1:0.08456561922365989,AUC:0.5047499999999999
TPR:0.05475,FPR:0.042,Pr:0.5658914728682171,F1:0.09984043765671302,AUC:0.506375
TPR:0.0515,FPR:0.04025,Pr:0.5613079019073569,F1:0.09434394321044194,AUC:0.5056250000000001
