TPR:0.6006013530443498,FPR:0.40586189766517633,Pr:0.594641528156785,F1:0.5976065818997757,AUC:0.5973697276895867
TPR:0.5940866950638938,FPR:0.40635866865375064,Pr:0.5917144996256551,F1:0.592898224556139,AUC:0.5938640132050717
TPR:0.6266599849661739,FPR:0.44063586686537504,Pr:0.5850292397660819,F1:0.6051294459230584,AUC:0.5930120590503996
TPR:0.588574292157354,FPR:0.4083457526080477,Pr:0.5882794891059354,F1:0.5884268537074148,AUC:0.5901142697746532
TPR:0.5865697820095214,FPR:0.4207650273224044,Pr:0.5801734820322181,F1:0.5833540991776726,AUC:0.5829023773435585
TPR:0.524179403658231,FPR:0.33581718827620466,Pr:0.6074332171893148,F1:0.5627437794216543,AUC:0.5941811076910132
TPR:0.5650212979203207,FPR:0.38350720317933434,Pr:0.5935772571729403,F1:0.5789473684210527,AUC:0.5907570473704932
TPR:0.617639689300927,FPR:0.47093889716840537,Pr:0.5652373308874111,F1:0.5902777777777779,AUC:0.5733503960662608
TPR:0.6772738661989476,FPR:0.5,Pr:0.5731552162849872,F1:0.6208797519237395,AUC:0.5886369330994738
TPR:0.6487095965923327,FPR:0.48335817188276203,Pr:0.5708930540242558,F1:0.6073187895847993,AUC:0.5826757123547853
TPR:0.6326735154096718,FPR:0.43293591654247393,Pr:0.5916119962511716,F1:0.6114541712071679,AUC:0.5998687994335989
TPR:0.63317464294663,FPR:0.4642324888226528,Pr:0.5748407643312102,F1:0.6025992607607011,AUC:0.5844710770619886
TPR:0.5359559007767477,FPR:0.35568802781917536,Pr:0.598991879025483,F1:0.565723353610156,AUC:0.5901339364787862
TPR:0.5873214733149587,FPR:0.4210134128166915,Pr:0.5803416687298837,F1:0.5838107098381071,AUC:0.5831540302491335
TPR:0.5910799298421449,FPR:0.4197714853452558,Pr:0.5826129908619412,F1:0.58681592039801,AUC:0.5856542222484444
TPR:0.5808068153345026,FPR:0.410829607550919,Pr:0.5835850956696879,F1:0.5821926409644607,AUC:0.5849886038917917
TPR:0.6534703081934352,FPR:0.47069051167411824,Pr:0.5791694425938263,F1:0.6140805274311277,AUC:0.5913898982596585
TPR:0.5582560761713856,FPR:0.4016393442622951,Pr:0.5794538361508452,F1:0.5686574783052578,AUC:0.5783083659545453
TPR:0.6424455023803558,FPR:0.4615002483854943,Pr:0.5798281320669381,F1:0.6095328658029241,AUC:0.5904726269974307
TPR:0.5191681282886494,FPR:0.3559364133134625,Pr:0.5911554921540656,F1:0.5528281750266808,AUC:0.5816158574875935
TPR:0.5690303182159859,FPR:0.4048683556880278,Pr:0.5821584209177134,F1:0.5755195134313228,AUC:0.582080981263979
TPR:0.6226509646705086,FPR:0.4903129657228018,Pr:0.5572998430141287,F1:0.5881656804733728,AUC:0.5661689994738535
TPR:0.5552493109496367,FPR:0.38425235966219573,Pr:0.5888918416157322,F1:0.5715759607944287,AUC:0.5854984756437205
TPR:0.5632673515409672,FPR:0.3849975161450571,Pr:0.5918904686677199,F1:0.5772242906663243,AUC:0.589134917697955
TPR:0.601102480581308,FPR:0.4341778440139096,Pr:0.5784904750421992,F1:0.5895797493241582,AUC:0.5834623182836993
TPR:0.5740415935855675,FPR:0.4202682563338301,Pr:0.5751945769520462,F1:0.5746175068974165,AUC:0.5768866686258688
TPR:0.6597344024054121,FPR:0.49080973671137607,Pr:0.5712735951399436,F1:0.6123255813953489,AUC:0.584462332847018
TPR:0.6549736908043097,FPR:0.5009935419771485,Pr:0.5644569207514576,F1:0.6063558339132451,AUC:0.5769900744135806
TPR:0.6001002255073916,FPR:0.44287133631395925,Pr:0.5732407850646242,F1:0.5863630799363446,AUC:0.5786144445967163
TPR:0.5354547732397895,FPR:0.37555886736214605,Pr:0.5856399013428336,F1:0.5594240837696335,AUC:0.5799479529388218
TPR:0.5276872964169381,FPR:0.34873323397913564,Pr:0.6,F1:0.5615251299826691,AUC:0.5894770312189013
TPR:0.6817840140315711,FPR:0.5312965722801788,Pr:0.5598765432098766,F1:0.6148457801378375,AUC:0.5752437208756961
TPR:0.5154096717614632,FPR:0.34277198211624443,Pr:0.5984870526622054,F1:0.553850296176629,AUC:0.5863188448226093
TPR:0.68479077925332,FPR:0.5491803278688525,Pr:0.5527912621359223,F1:0.6117515388919977,AUC:0.5678052256922338
TPR:0.5830618892508144,FPR:0.4207650273224044,Pr:0.5787117632429744,F1:0.5808786819770344,AUC:0.581148430964205
TPR:0.5557504384865949,FPR:0.3889716840536513,Pr:0.5861522198731501,F1:0.5705466237942123,AUC:0.5833893772164718
TPR:0.6915560010022551,FPR:0.5126676602086438,Pr:0.572139303482587,F1:0.6262053318207601,AUC:0.5894441703968056
TPR:0.6634928589325984,FPR:0.4947839046199702,Pr:0.5706896551724138,F1:0.6136021318503071,AUC:0.5843544771563141
TPR:0.5848158356301679,FPR:0.4187779433681073,Pr:0.5805970149253732,F1:0.5826987891648984,AUC:0.5830189461310303
TPR:0.6960661488348785,FPR:0.5235966219572777,Pr:0.5685632419156774,F1:0.625887124028388,AUC:0.5862347634388003
TPR:0.3886244049110499,FPR:0.26105315449577743,Pr:0.5960799385088393,F1:0.4704990141058699,AUC:0.5637856252076362
TPR:0.5895765472312704,FPR:0.41703924490809735,Pr:0.5835813492063492,F1:0.5865636295650007,AUC:0.5862686511615866
TPR:0.5098972688549236,FPR:0.33407848981619476,Pr:0.6020710059171598,F1:0.5521638854972188,AUC:0.5879093895193643
TPR:0.6016036081182661,FPR:0.4505712866368604,Pr:0.569632265717675,F1:0.5851815744577139,AUC:0.5755161607407028
TPR:0.5850663993986469,FPR:0.42126179831097865,Pr:0.5792607293475565,F1:0.5821490900024932,AUC:0.5819023005438342
TPR:0.5632673515409672,FPR:0.39940387481371087,Pr:0.58298755186722,F1:0.5729578182744998,AUC:0.5819317383636281
TPR:0.5547481834126785,FPR:0.3827620466964729,Pr:0.5896138482023968,F1:0.5716498838109992,AUC:0.5859930683581027
TPR:0.7005762966675019,FPR:0.49850968703427717,Pr:0.5821361648969394,F1:0.6358881055264953,AUC:0.6010333048166124
TPR:0.5970934602856427,FPR:0.43219076005961254,Pr:0.5779772010671841,F1:0.5873798373182154,AUC:0.5824513501130151
TPR:0.5742921573540466,FPR:0.3926974664679583,Pr:0.5917893106119287,F1:0.582909460834181,AUC:0.5907973454430441
TPR:0.7454272112252568,FPR:0.5534028812717338,Pr:0.5717855083605612,F1:0.6471611920817925,AUC:0.5960121649767616
