TPR:0.6032828282828283,FPR:0.44589598225289623,Pr:0.5690805145307289,F1:0.5856827653836725,AUC:0.578693423014966
TPR:0.6068181818181818,FPR:0.4431846191767316,Pr:0.572006665079743,F1:0.5888984193113589,AUC:0.5818167813207251
TPR:0.6116161616161616,FPR:0.4291348286911511,Pr:0.581791976939707,F1:0.5963314046534532,AUC:0.5912406664625052
TPR:0.6098484848484849,FPR:0.4431846191767316,Pr:0.5732257298836934,F1:0.5909702679554631,AUC:0.5833319328358767
TPR:0.5876262626262626,FPR:0.42223317722455017,Pr:0.575990099009901,F1:0.58175,AUC:0.5826965427008562
TPR:0.6073232323232324,FPR:0.44269164407197437,Pr:0.5724827422042371,F1:0.5893885553241025,AUC:0.582315794125629
TPR:0.6815656565656566,FPR:0.5124476213951196,Pr:0.5648807032231059,F1:0.6177615014877547,AUC:0.5845590175852684
TPR:0.6555555555555556,FPR:0.4914961794429381,Pr:0.5655773420479303,F1:0.607251461988304,AUC:0.5820296880563087
TPR:0.6181818181818182,FPR:0.46709391175745624,Pr:0.5636656688924706,F1:0.5896663856437432,AUC:0.575543953212181
TPR:0.6202020202020202,FPR:0.4508257333004683,Pr:0.5731621936989498,F1:0.5957550030321406,AUC:0.5846881434507759
TPR:0.6207070707070707,FPR:0.45797387231944786,Pr:0.5695088044485634,F1:0.5940067665538907,AUC:0.5813665991938114
TPR:0.6164141414141414,FPR:0.45624845945279763,Pr:0.5687325256290774,F1:0.5916141541444498,AUC:0.580082840980672
TPR:0.6007575757575757,FPR:0.42026127680552133,Pr:0.5825171400587659,F1:0.5914967677772252,AUC:0.5902481494760271
TPR:0.6431818181818182,FPR:0.4754744885383288,Pr:0.5690348525469169,F1:0.6038406827880513,AUC:0.5838536648217446
TPR:0.6234848484848485,FPR:0.47350258811929996,Pr:0.5624145785876993,F1:0.5913772455089821,AUC:0.5749911301827743
TPR:0.6356060606060606,FPR:0.4638895735765344,Pr:0.5721754944305524,F1:0.6022251465486302,AUC:0.5858582435147632
TPR:0.6176767676767677,FPR:0.44219866896721716,Pr:0.5768867924528301,F1:0.5965853658536586,AUC:0.5877390493547754
TPR:0.5936868686868687,FPR:0.4385013556815381,Pr:0.5692493946731235,F1:0.5812113720642769,AUC:0.5775927565026653
TPR:0.6070707070707071,FPR:0.45255114616711856,Pr:0.5669811320754717,F1:0.5863414634146342,AUC:0.5772597804517943
TPR:0.6022727272727273,FPR:0.4352970175006162,Pr:0.5745603469043604,F1:0.5880902478116138,AUC:0.5834878548860556
TPR:0.6065656565656565,FPR:0.44688193246241065,Pr:0.5698695136417556,F1:0.5876452599388378,AUC:0.5798418620516229
TPR:0.6123737373737373,FPR:0.44071974365294553,Pr:0.5755993353904582,F1:0.5934173498103512,AUC:0.585826996860396
TPR:0.6143939393939394,FPR:0.44293813162435297,Pr:0.575177304964539,F1:0.5941391941391941,AUC:0.5857279038847931
TPR:0.5969696969696969,FPR:0.4288883411387725,Pr:0.5760233918128655,F1:0.5863095238095237,AUC:0.5840406779154622
TPR:0.5714646464646465,FPR:0.4227261523293074,Pr:0.5688788335847159,F1:0.5701688082640464,AUC:0.5743692470676696
TPR:0.569949494949495,FPR:0.4020211979295046,Pr:0.5805041152263375,F1:0.5751783893985729,AUC:0.5839641485099952
TPR:0.5656565656565656,FPR:0.3983238846438255,Pr:0.5809128630705395,F1:0.5731832139201638,AUC:0.5836663405063701
TPR:0.5845959595959596,FPR:0.4234656149864432,Pr:0.5740143813538309,F1:0.5792568497435255,AUC:0.5805651723047582
TPR:0.5957070707070707,FPR:0.4246980527483362,Pr:0.5779029887310142,F1:0.5866699825913952,AUC:0.5855045089793673
TPR:0.5712121212121212,FPR:0.43135321666255855,Pr:0.5638085742771685,F1:0.5674862017059709,AUC:0.5699294522747813
TPR:0.5707070707070707,FPR:0.42001478925314273,Pr:0.5701311806256307,F1:0.5704189803129733,AUC:0.575346140726964
TPR:0.5856060606060606,FPR:0.4330786295292088,Pr:0.5689401373895977,F1:0.5771528123444499,AUC:0.5762637155384258
TPR:0.5803030303030303,FPR:0.42543751540547203,Pr:0.5710735586481114,F1:0.5756513026052105,AUC:0.5774327574487792
TPR:0.5944444444444444,FPR:0.42543751540547203,Pr:0.5769607843137254,F1:0.5855721393034826,AUC:0.5845034645194862
TPR:0.6007575757575757,FPR:0.4345575548434804,Pr:0.5743602124577499,F1:0.5872624043446063,AUC:0.5831000104570476
TPR:0.570959595959596,FPR:0.40448607345329063,Pr:0.579446437724244,F1:0.5751717120325617,AUC:0.5832367612531527
TPR:0.5707070707070707,FPR:0.40571851121518365,Pr:0.5785970302099335,F1:0.5746249682176456,AUC:0.5824942797459436
TPR:0.5871212121212122,FPR:0.42691644071974366,Pr:0.5730835592802563,F1:0.5800174628913559,AUC:0.5801023857007342
TPR:0.5946969696969697,FPR:0.4392408183386739,Pr:0.5692530819434373,F1:0.5816969247869582,AUC:0.577728075679148
TPR:0.5861111111111111,FPR:0.41656396351984226,Pr:0.5786586886063326,F1:0.5823610588382888,AUC:0.5847735737956344
TPR:0.6118686868686869,FPR:0.444170569386246,Pr:0.573491124260355,F1:0.5920586438607208,AUC:0.5838490587412204
TPR:0.5835858585858585,FPR:0.41040177471037714,Pr:0.5812374245472837,F1:0.5824092741935484,AUC:0.5865920419377406
TPR:0.5962121212121212,FPR:0.44244515651959576,Pr:0.5680943214629451,F1:0.5818137013307048,AUC:0.5768834823462627
TPR:0.5712121212121212,FPR:0.39487305891052504,Pr:0.5854037267080745,F1:0.5782208588957054,AUC:0.5881695311507982
TPR:0.5941919191919192,FPR:0.43110672911017994,Pr:0.5736226231106777,F1:0.5837261225502356,AUC:0.5815425950408696
TPR:0.5936868686868687,FPR:0.4126201626817846,Pr:0.5840993788819876,F1:0.5888541014402003,AUC:0.5905333530025421
TPR:0.6202020202020202,FPR:0.45846684742420507,Pr:0.5690454124189064,F1:0.5935234412759788,AUC:0.5808675863889076
TPR:0.6242424242424243,FPR:0.44244515651959576,Pr:0.5793297398640731,F1:0.6009480977269964,AUC:0.5908986338614143
TPR:0.5982323232323232,FPR:0.43135321666255855,Pr:0.5751395969895605,F1:0.586458720138631,AUC:0.5834395532848824
TPR:0.6007575757575757,FPR:0.4352970175006162,Pr:0.5739445114595899,F1:0.587045033929673,AUC:0.5827302791284797
TPR:0.6267676767676768,FPR:0.46364308602415577,Pr:0.5688746275498511,F1:0.5964195602547158,AUC:0.5815622953717604
