TPR:0.06375,FPR:0.05775,Pr:0.5246913580246914,F1:0.11368702630405708,AUC:0.503
TPR:0.06875,FPR:0.06225,Pr:0.5248091603053435,F1:0.1215738284703802,AUC:0.50325
TPR:0.064,FPR:0.059,Pr:0.5203252032520326,F1:0.11398040961709707,AUC:0.5025000000000001
TPR:0.069,FPR:0.06175,Pr:0.5277246653919694,F1:0.12204289188591645,AUC:0.503625
TPR:0.07425,FPR:0.06325,Pr:0.54,F1:0.13054945054945052,AUC:0.5055
TPR:0.07325,FPR:0.0595,Pr:0.551789077212806,F1:0.1293312734495696,AUC:0.5068750000000001
TPR:0.07675,FPR:0.06275,Pr:0.5501792114695341,F1:0.13470820535322509,AUC:0.507
TPR:0.07925,FPR:0.0635,Pr:0.5551663747810858,F1:0.1387005031721724,AUC:0.5078750000000001
TPR:0.08675,FPR:0.06675,Pr:0.5651465798045603,F1:0.15041179020372777,AUC:0.51
TPR:0.09375,FPR:0.071,Pr:0.5690440060698028,F1:0.16097875080489377,AUC:0.511375
TPR:0.094,FPR:0.073,Pr:0.562874251497006,F1:0.1610968294772922,AUC:0.5105000000000001
TPR:0.10475,FPR:0.08375,Pr:0.5557029177718833,F1:0.1762726125368111,AUC:0.5105
TPR:0.105,FPR:0.08275,Pr:0.559254327563249,F1:0.1768048831824879,AUC:0.5111249999999999
TPR:0.1025,FPR:0.08,Pr:0.5616438356164384,F1:0.17336152219873147,AUC:0.51125
TPR:0.1075,FPR:0.08375,Pr:0.5620915032679739,F1:0.18048268625393493,AUC:0.511875
TPR:0.10775,FPR:0.08425,Pr:0.5611979166666666,F1:0.18078859060402686,AUC:0.51175
TPR:0.103,FPR:0.0825,Pr:0.555256064690027,F1:0.17376634331505694,AUC:0.51025
TPR:0.09625,FPR:0.076,Pr:0.5587808417997098,F1:0.16421411814885906,AUC:0.5101249999999999
TPR:0.09675,FPR:0.07525,Pr:0.5625,F1:0.1651023890784983,AUC:0.51075
TPR:0.09725,FPR:0.0735,Pr:0.5695461200585652,F1:0.166132820841341,AUC:0.5118750000000001
TPR:0.09875,FPR:0.07425,Pr:0.5708092485549133,F1:0.16837169650468883,AUC:0.51225
TPR:0.09525,FPR:0.07225,Pr:0.5686567164179105,F1:0.163169164882227,AUC:0.5115000000000001
TPR:0.0845,FPR:0.066,Pr:0.5614617940199336,F1:0.14689265536723164,AUC:0.50925
TPR:0.078,FPR:0.061,Pr:0.5611510791366906,F1:0.1369622475856014,AUC:0.5085000000000001
TPR:0.069,FPR:0.05525,Pr:0.5553319919517102,F1:0.12274849899933288,AUC:0.506875
TPR:0.06175,FPR:0.04925,Pr:0.5563063063063063,F1:0.11116111611161116,AUC:0.50625
TPR:0.07,FPR:0.06,Pr:0.5384615384615384,F1:0.12389380530973453,AUC:0.505
TPR:0.0675,FPR:0.05825,Pr:0.536779324055666,F1:0.11992005329780148,AUC:0.5046249999999999
TPR:0.0645,FPR:0.054,Pr:0.5443037974683544,F1:0.11533303531515422,AUC:0.50525
TPR:0.067,FPR:0.05525,Pr:0.5480572597137015,F1:0.11940298507462689,AUC:0.505875
TPR:0.06475,FPR:0.05325,Pr:0.548728813559322,F1:0.11583184257602863,AUC:0.50575
TPR:0.06575,FPR:0.05375,Pr:0.5502092050209205,F1:0.11746315319338992,AUC:0.506
TPR:0.062,FPR:0.0515,Pr:0.5462555066079295,F1:0.11136057476425683,AUC:0.50525
TPR:0.06175,FPR:0.052,Pr:0.5428571428571428,F1:0.11088664421997756,AUC:0.504875
TPR:0.057,FPR:0.0475,Pr:0.5454545454545454,F1:0.10321412403802625,AUC:0.50475
TPR:0.05525,FPR:0.045,Pr:0.5511221945137157,F1:0.1004317200636219,AUC:0.505125
TPR:0.053,FPR:0.0415,Pr:0.5608465608465608,F1:0.0968478757423481,AUC:0.5057499999999999
TPR:0.04825,FPR:0.03675,Pr:0.5676470588235294,F1:0.08894009216589861,AUC:0.50575
TPR:0.052,FPR:0.04175,Pr:0.5546666666666666,F1:0.09508571428571427,AUC:0.505125
TPR:0.04675,FPR:0.037,Pr:0.5582089552238806,F1:0.08627450980392157,AUC:0.504875
TPR:0.0445,FPR:0.037,Pr:0.5460122699386503,F1:0.08229311141932501,AUC:0.50375
TPR:0.04275,FPR:0.0365,Pr:0.5394321766561514,F1:0.07922168172341906,AUC:0.503125
TPR:0.0405,FPR:0.0355,Pr:0.5328947368421053,F1:0.07527881040892194,AUC:0.5025000000000001
TPR:0.04175,FPR:0.0345,Pr:0.5475409836065573,F1:0.07758420441347272,AUC:0.503625
TPR:0.042,FPR:0.034,Pr:0.5526315789473685,F1:0.07806691449814127,AUC:0.504
TPR:0.0435,FPR:0.03675,Pr:0.5420560747663551,F1:0.08053691275167785,AUC:0.503375
TPR:0.04125,FPR:0.03375,Pr:0.55,F1:0.07674418604651163,AUC:0.50375
TPR:0.04275,FPR:0.034,Pr:0.5570032573289903,F1:0.07940561876015789,AUC:0.504375
TPR:0.04525,FPR:0.03525,Pr:0.562111801242236,F1:0.08375751966682092,AUC:0.505
TPR:0.048,FPR:0.038,Pr:0.5581395348837209,F1:0.08839779005524862,AUC:0.505
TPR:0.04675,FPR:0.0375,Pr:0.5548961424332344,F1:0.08623472446391516,AUC:0.5046250000000001
