TPR:0.4035,FPR:0.349,Pr:0.5362126245847176,F1:0.4604850213980029,AUC:0.52725
TPR:0.3915,FPR:0.3395,Pr:0.5355677154582763,F1:0.45233968804159447,AUC:0.526
TPR:0.38125,FPR:0.327,Pr:0.538298623367455,F1:0.44636323723108445,AUC:0.5271250000000001
TPR:0.38375,FPR:0.32875,Pr:0.5385964912280702,F1:0.44817518248175187,AUC:0.5275
TPR:0.3835,FPR:0.3275,Pr:0.539381153305204,F1:0.4482758620689656,AUC:0.528
TPR:0.3835,FPR:0.3275,Pr:0.539381153305204,F1:0.4482758620689656,AUC:0.528
TPR:0.3855,FPR:0.33025,Pr:0.5385958784491792,F1:0.4493661663995337,AUC:0.527625
TPR:0.3935,FPR:0.338,Pr:0.5379357484620643,F1:0.45451920300317644,AUC:0.5277499999999999
TPR:0.395,FPR:0.33725,Pr:0.5394332536701946,F1:0.4560542646846587,AUC:0.528875
TPR:0.39575,FPR:0.33525,Pr:0.5413816689466484,F1:0.45725014442518774,AUC:0.53025
TPR:0.395,FPR:0.335,Pr:0.541095890410959,F1:0.4566473988439307,AUC:0.53
TPR:0.39675,FPR:0.33375,Pr:0.5431211498973306,F1:0.45853799479919094,AUC:0.5315
TPR:0.40725,FPR:0.33975,Pr:0.5451807228915663,F1:0.4662278191184889,AUC:0.53375
TPR:0.41175,FPR:0.342,Pr:0.5462686567164179,F1:0.4695652173913043,AUC:0.534875
TPR:0.4075,FPR:0.33775,Pr:0.5467963770546796,F1:0.46698180776393067,AUC:0.534875
TPR:0.40825,FPR:0.3375,Pr:0.5474354676500167,F1:0.4677072891307461,AUC:0.535375
TPR:0.4,FPR:0.3265,Pr:0.5505849965588437,F1:0.4633651896901245,AUC:0.53675
TPR:0.39275,FPR:0.32125,Pr:0.5500700280112045,F1:0.4582847141190199,AUC:0.53575
TPR:0.38425,FPR:0.3145,Pr:0.5499105545617173,F1:0.45239146431199406,AUC:0.534875
TPR:0.38,FPR:0.31375,Pr:0.5477477477477477,F1:0.4487084870848708,AUC:0.533125
TPR:0.37575,FPR:0.30975,Pr:0.5481400437636762,F1:0.4458617620884011,AUC:0.533
TPR:0.38225,FPR:0.31375,Pr:0.5492097701149425,F1:0.45076650943396224,AUC:0.53425
TPR:0.38475,FPR:0.322,Pr:0.5443933498408207,F1:0.4508568917533324,AUC:0.5313749999999999
TPR:0.3875,FPR:0.32575,Pr:0.5432877672625307,F1:0.4523566321319131,AUC:0.530875
TPR:0.393,FPR:0.33275,Pr:0.5415087840165346,F1:0.4554541503694046,AUC:0.530125
TPR:0.40125,FPR:0.343,Pr:0.5391333557272422,F1:0.4600831302852229,AUC:0.5291250000000001
TPR:0.414,FPR:0.35725,Pr:0.5367909238249595,F1:0.4674664784756528,AUC:0.5283749999999999
TPR:0.42275,FPR:0.36575,Pr:0.536144578313253,F1:0.47274252166620073,AUC:0.5285
TPR:0.43,FPR:0.3745,Pr:0.5344934742075823,F1:0.47658631199778323,AUC:0.5277499999999999
TPR:0.441,FPR:0.3815,Pr:0.5361702127659574,F1:0.4839506172839506,AUC:0.52975
TPR:0.4375,FPR:0.3785,Pr:0.5361519607843137,F1:0.4818281938325991,AUC:0.5295
TPR:0.434,FPR:0.377,Pr:0.5351418002466092,F1:0.4792932081722805,AUC:0.5285
TPR:0.4295,FPR:0.37175,Pr:0.5360374414976599,F1:0.4768910478834143,AUC:0.528875
TPR:0.426,FPR:0.3685,Pr:0.5361862806796728,F1:0.47478406241292836,AUC:0.5287499999999999
TPR:0.42725,FPR:0.36775,Pr:0.5374213836477988,F1:0.47604456824512537,AUC:0.5297499999999999
TPR:0.419,FPR:0.358,Pr:0.5392535392535392,F1:0.47158131682611143,AUC:0.5305000000000001
TPR:0.41225,FPR:0.3485,Pr:0.5418994413407822,F1:0.46826636376544084,AUC:0.531875
TPR:0.4085,FPR:0.34375,Pr:0.5430375540046527,F1:0.46625766871165647,AUC:0.532375
TPR:0.399,FPR:0.33025,Pr:0.5471374700034282,F1:0.46147173630186494,AUC:0.534375
TPR:0.39225,FPR:0.3235,Pr:0.5480265455815578,F1:0.4572344455777357,AUC:0.5343749999999999
TPR:0.39775,FPR:0.33175,Pr:0.5452364633310487,F1:0.4599595258745302,AUC:0.533
TPR:0.39625,FPR:0.3285,Pr:0.5467402552604347,F1:0.45948688215683436,AUC:0.533875
TPR:0.39475,FPR:0.32825,Pr:0.5459889349930843,F1:0.4582124201973302,AUC:0.53325
TPR:0.3925,FPR:0.32925,Pr:0.5438171111880845,F1:0.45593146507913457,AUC:0.531625
TPR:0.39575,FPR:0.333,Pr:0.5430531732418525,F1:0.45784526391901664,AUC:0.531375
TPR:0.39925,FPR:0.3395,Pr:0.5404399323181049,F1:0.4592379583033789,AUC:0.529875
TPR:0.39875,FPR:0.34225,Pr:0.5381241565452092,F1:0.45807007466973,AUC:0.52825
TPR:0.3995,FPR:0.3475,Pr:0.534805890227577,F1:0.4573554665140241,AUC:0.526
TPR:0.40775,FPR:0.3575,Pr:0.5328324077098987,F1:0.46197422461407733,AUC:0.5251250000000001
TPR:0.41125,FPR:0.36075,Pr:0.5327072538860104,F1:0.4641647855530474,AUC:0.52525
TPR:0.40975,FPR:0.35975,Pr:0.532488628979857,F1:0.46312517660356034,AUC:0.525
